,时间,地市,流量
0,2017-01-01 00:00:00,A,3.900241790771475
1,2017-01-01 01:00:00,A,2.520268502807625
2,2017-01-01 02:00:00,A,1.489956298828125
3,2017-01-01 03:00:00,A,0.8961200775146475
4,2017-01-01 04:00:00,A,0.608649615478515
5,2017-01-01 05:00:00,A,0.552281118774415
6,2017-01-01 06:00:00,A,0.7996024444580075
7,2017-01-01 07:00:00,A,1.492961935424805
8,2017-01-01 08:00:00,A,2.31983101196289
9,2017-01-01 09:00:00,A,3.05712877197265
10,2017-01-01 10:00:00,A,3.610928735351575
11,2017-01-01 11:00:00,A,3.8673337677002
12,2017-01-01 12:00:00,A,3.875674118042
13,2017-01-01 13:00:00,A,3.78052485961915
14,2017-01-01 14:00:00,A,2.859240869140625
15,2017-01-01 15:00:00,A,3.6829552734375
16,2017-01-01 16:00:00,A,3.71445558166505
17,2017-01-01 17:00:00,A,3.800472177124025
18,2017-01-01 18:00:00,A,3.9342438720703
19,2017-01-01 19:00:00,A,4.019793881225575
20,2017-01-01 20:00:00,A,3.995172271728525
21,2017-01-01 21:00:00,A,3.8992387084961
22,2017-01-01 22:00:00,A,3.923883035278325
23,2017-01-01 23:00:00,A,4.6099631011963
24,2017-01-02 00:00:00,A,3.6966072418213
25,2017-01-02 01:00:00,A,2.265063845825195
26,2017-01-02 02:00:00,A,1.286139236450195
27,2017-01-02 03:00:00,A,0.7621494873046875
28,2017-01-02 04:00:00,A,0.480649365234375
29,2017-01-02 05:00:00,A,0.47614303894043
30,2017-01-02 06:00:00,A,0.71321671142578
31,2017-01-02 07:00:00,A,1.30854089050293
32,2017-01-02 08:00:00,A,2.00105442199707
33,2017-01-02 09:00:00,A,2.71708858947755
34,2017-01-02 10:00:00,A,3.394725320434575
35,2017-01-02 11:00:00,A,3.813036361694325
36,2017-01-02 12:00:00,A,4.15732239990235
37,2017-01-02 13:00:00,A,3.398238189697275
38,2017-01-02 14:00:00,A,2.7325010772705
39,2017-01-02 15:00:00,A,2.76911620788575
40,2017-01-02 16:00:00,A,2.824429638671875
41,2017-01-02 17:00:00,A,3.539293215942375
42,2017-01-02 18:00:00,A,3.682715734863275
43,2017-01-02 19:00:00,A,3.11837679748535
44,2017-01-02 20:00:00,A,3.476973855590825
45,2017-01-02 21:00:00,A,4.547732568359375
46,2017-01-02 22:00:00,A,4.403461706542975
47,2017-01-02 23:00:00,A,5.44699640197755
48,2017-01-03 00:00:00,A,4.112476171875
49,2017-01-03 01:00:00,A,2.276217901611327
50,2017-01-03 02:00:00,A,1.24425189819336
51,2017-01-03 03:00:00,A,0.72077769165039
52,2017-01-03 04:00:00,A,0.497126498413085
53,2017-01-03 05:00:00,A,0.4743008056640625
54,2017-01-03 06:00:00,A,0.81953053894043
55,2017-01-03 07:00:00,A,1.867978387451172
56,2017-01-03 08:00:00,A,2.805217059326175
57,2017-01-03 09:00:00,A,3.072761709594725
58,2017-01-03 10:00:00,A,3.276185067749025
59,2017-01-03 11:00:00,A,3.43361400146485
60,2017-01-03 12:00:00,A,3.293762600708
61,2017-01-03 13:00:00,A,2.8416129119873
62,2017-01-03 14:00:00,A,2.653473345947275
63,2017-01-03 15:00:00,A,2.705509170532225
64,2017-01-03 16:00:00,A,2.8333026550293
65,2017-01-03 17:00:00,A,2.9407970489502
66,2017-01-03 18:00:00,A,4.35233200683595
67,2017-01-03 19:00:00,A,4.298664620971675
68,2017-01-03 20:00:00,A,4.4271430480957
69,2017-01-03 21:00:00,A,4.44843861083985
70,2017-01-03 22:00:00,A,4.6240194732666
71,2017-01-03 23:00:00,A,5.44235718688965
72,2017-01-04 00:00:00,A,4.138509701538075
73,2017-01-04 01:00:00,A,
74,2017-01-04 02:00:00,A,1.1853607421875
75,2017-01-04 03:00:00,A,0.7183868530273425
76,2017-01-04 04:00:00,A,0.4985512451171875
77,2017-01-04 05:00:00,A,0.518455502319335
78,2017-01-04 06:00:00,A,0.90686603088379
79,2017-01-04 07:00:00,A,1.994530700683592
80,2017-01-04 08:00:00,A,2.97417148742675
81,2017-01-04 09:00:00,A,3.4047209777832
82,2017-01-04 10:00:00,A,3.85682167663575
83,2017-01-04 11:00:00,A,4.24808359375
84,2017-01-04 12:00:00,A,4.893690533447275
85,2017-01-04 13:00:00,A,4.28557843933105
86,2017-01-04 14:00:00,A,4.0968699584961
87,2017-01-04 15:00:00,A,4.236977801513675
88,2017-01-04 16:00:00,A,4.384186340332025
89,2017-01-04 17:00:00,A,4.560728738403325
90,2017-01-04 18:00:00,A,4.676633099365225
91,2017-01-04 19:00:00,A,4.547284130859375
92,2017-01-04 20:00:00,A,4.470259985351575
93,2017-01-04 21:00:00,A,4.50293138427735
94,2017-01-04 22:00:00,A,4.682469076538075
95,2017-01-04 23:00:00,A,5.56035265808105
96,2017-01-05 00:00:00,A,4.3690297241211
97,2017-01-05 01:00:00,A,2.416709588623048
98,2017-01-05 02:00:00,A,1.29040978088379
99,2017-01-05 03:00:00,A,0.7785204132080075
100,2017-01-05 04:00:00,A,0.5430600006103525
101,2017-01-05 05:00:00,A,0.541553646850585
102,2017-01-05 06:00:00,A,0.956629623413085
103,2017-01-05 07:00:00,A,2.031423937988282
104,2017-01-05 08:00:00,A,3.13082229003905
105,2017-01-05 09:00:00,A,3.576219323730475
106,2017-01-05 10:00:00,A,4.06668168029785
107,2017-01-05 11:00:00,A,4.4363281982422
108,2017-01-05 12:00:00,A,5.170334094238275
109,2017-01-05 13:00:00,A,4.486889343261725
110,2017-01-05 14:00:00,A,4.243695462036125
111,2017-01-05 15:00:00,A,4.34770519104005
112,2017-01-05 16:00:00,A,4.4614088104248
113,2017-01-05 17:00:00,A,4.6734214996338
114,2017-01-05 18:00:00,A,4.4939183959961
115,2017-01-05 19:00:00,A,4.70381978149415
116,2017-01-05 20:00:00,A,4.655358935546875
117,2017-01-05 21:00:00,A,4.66836078186035
118,2017-01-05 22:00:00,A,4.90403003845215
119,2017-01-05 23:00:00,A,5.71915968933105
120,2017-01-06 00:00:00,A,4.472697766113275
121,2017-01-06 01:00:00,A,2.572483743286125
122,2017-01-06 02:00:00,A,1.397289974975585
123,2017-01-06 03:00:00,A,0.8191486419677725
124,2017-01-06 04:00:00,A,0.5628221160888675
125,2017-01-06 05:00:00,A,0.5336042236328125
126,2017-01-06 06:00:00,A,0.942880252075195
127,2017-01-06 07:00:00,A,2.06316813659668
128,2017-01-06 08:00:00,A,2.98616457214355
129,2017-01-06 09:00:00,A,3.24207509765625
130,2017-01-06 10:00:00,A,2.71136567993165
131,2017-01-06 11:00:00,A,3.017440396118175
